epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,29.4614,0.50717,0.96593,1,0.09361,0.000369894,0.000369894,0.000369894
2,57.8231,0.20138,0.95992,1,0.11128,0.0007158,0.0007158,0.0007158
3,85.6363,0.1958,0.97194,1,0.08333,0.00103726,0.00103726,0.00103726
4,114.622,0.17396,0.97729,1,0.06966,0.00100101,0.00100101,0.00100101
5,146.712,0.14439,0.97662,1,0.07679,0.000964348,0.000964348,0.000964348
6,177.96,0.13839,0.97128,1,0.0723,0.000927685,0.000927685,0.000927685
7,208.576,0.1162,0.97395,1,0.08255,0.000891022,0.000891022,0.000891022
8,240.046,0.10922,0.96994,1,0.08004,0.000854359,0.000854359,0.000854359
9,271.08,0.10541,0.97796,1,0.0609,0.000817696,0.000817696,0.000817696
10,301.427,0.09106,0.98263,1,0.05748,0.000781033,0.000781033,0.000781033
11,332.108,0.08737,0.98063,1,0.05392,0.00074437,0.00074437,0.00074437
12,363.056,0.08602,0.97662,1,0.06475,0.000707707,0.000707707,0.000707707
13,392.576,0.08227,0.98263,1,0.05303,0.000671044,0.000671044,0.000671044
14,419.748,0.0738,0.97929,1,0.06403,0.000634381,0.000634381,0.000634381
15,448.463,0.07145,0.98397,1,0.04696,0.000597718,0.000597718,0.000597718
16,477.444,0.07152,0.98464,1,0.0457,0.000561055,0.000561055,0.000561055
17,504.467,0.06332,0.98263,1,0.05494,0.000524392,0.000524392,0.000524392
18,531.405,0.05355,0.9833,1,0.04769,0.000487729,0.000487729,0.000487729
19,558.1,0.05993,0.98731,1,0.04184,0.000451066,0.000451066,0.000451066
20,585.111,0.05368,0.98931,1,0.04607,0.000414403,0.000414403,0.000414403
21,635.238,0.05075,0.98597,1,0.04518,0.00037774,0.00037774,0.00037774
22,665.395,0.0468,0.98597,1,0.04314,0.000341077,0.000341077,0.000341077
23,692.908,0.04103,0.98664,1,0.04843,0.000304414,0.000304414,0.000304414
24,719.814,0.03815,0.98397,1,0.05249,0.000267751,0.000267751,0.000267751
25,746.491,0.03709,0.9853,1,0.0497,0.000231088,0.000231088,0.000231088
26,775.207,0.0404,0.98664,1,0.04452,0.000194425,0.000194425,0.000194425
27,805.115,0.03523,0.98731,1,0.04216,0.000157762,0.000157762,0.000157762
28,832.113,0.02905,0.98731,1,0.04283,0.000121099,0.000121099,0.000121099
29,858.926,0.02814,0.98664,1,0.04316,8.4436e-05,8.4436e-05,8.4436e-05
30,885.51,0.0253,0.98731,1,0.04113,4.7773e-05,4.7773e-05,4.7773e-05
